Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;clustering;triangles;eigencentrality;componentnumber
"репнинская улица";47;47;5;0.37565;0.416744;0.001144;0.04985;0.04985;3;0.001513;0.493987;534;0.27502;0
"проспект мечникова";77;77;4;0.419855;0.467032;0.003998;0.093731;0.093731;3;0.002248;0.379357;1110;0.492701;0
"замшина улица";48;48;5;0.381099;0.422414;0.000911;0.059131;0.05913;3;0.001465;0.523936;591;0.32224;0
"полюстровский проспект";38;38;4;0.385505;0.420704;0.000589;0.051439;0.051438;3;0.001182;0.577525;406;0.256112;0
"площадь академика климова";15;15;5;0.333077;0.359592;0;0.018808;0.018808;3;0.000569;0.980952;103;0.096956;0
"набережная чёрной речки";34;34;4;0.377778;0.410804;0.005236;0.02379;0.02379;5;0.001247;0.360071;202;0.146332;0
"проспект науки";76;76;5;0.402134;0.450577;0.004703;0.06361;0.063609;3;0.002308;0.371532;1031;0.388749;0
"улица карпинского";25;25;5;0.348333;0.379066;0.000193;0.02302;0.02302;3;0.000894;0.673333;202;0.135765;0
"улица руставели";107;107;4;0.4307;0.487793;0.019152;0.098997;0.098996;3;0.003206;0.2469;1374;0.561597;0
"северный проспект";60;60;5;0.378768;0.42328;0.00175;0.053178;0.053177;3;0.001831;0.475161;813;0.322445;0
"улица вавиловых";35;35;5;0.355182;0.391349;0.000481;0.028839;0.028839;3;0.001179;0.611765;364;0.18282;0
"тихорецкий проспект";35;35;5;0.370038;0.404056;0.000766;0.029074;0.029073;3;0.001175;0.610084;363;0.188221;0
"политехническая улица";16;16;5;0.339734;0.368205;0.000158;0.014014;0.014014;3;0.000642;0.733333;88;0.085172;0
"улица курчатова";12;12;5;0.320162;0.347328;0;0.010003;0.010003;3;0.000524;1;66;0.059046;0
"институтский проспект";12;12;5;0.320162;0.347328;0;0.010003;0.010003;3;0.000524;1;66;0.059046;0
"новороссийская улица";12;12;5;0.320162;0.347328;0;0.010003;0.010003;3;0.000524;1;66;0.059046;0
"суздальский проспект";79;79;4;0.416027;0.463668;0.005988;0.074901;0.0749;3;0.002344;0.37962;1140;0.447908;0
"светлановский проспект";62;62;5;0.399539;0.442503;0.003226;0.056994;0.056994;3;0.001842;0.465027;851;0.353054;0
