Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;componentnumber;clustering;triangles;eigencentrality
20;40;40;3;0.472414;0.529197;0.01033;0.080914;0.080914;1;0.004617;0;0.435897;340;0.533259
22;45;45;4;0.488414;0.547445;0.019498;0.059407;0.059406;0;0.005554;0;0.374747;371;0.477003
26;56;56;4;0.496377;0.567214;0.027347;0.092724;0.092725;1;0.006335;0;0.380519;586;0.66612
27;39;39;4;0.468376;0.525547;0.008676;0.046545;0.046545;0;0.004797;0;0.464238;344;0.393172
31;49;49;4;0.452893;0.528589;0.008138;0.069462;0.069463;1;0.00577;0;0.444728;523;0.517506
50;61;61;3;0.516008;0.58455;0.027498;0.100794;0.100794;1;0.006992;0;0.338798;620;0.720789
63;33;33;4;0.4384;0.493917;0.00217;0.060358;0.060359;1;0.003916;0;0.585227;309;0.421376
66;34;34;4;0.458194;0.511861;0.013058;0.049152;0.049152;1;0.004417;0;0.381462;214;0.34587
68;20;20;4;0.407738;0.452859;0.000505;0.035871;0.035871;1;0.002666;0;0.784211;149;0.236996
72;40;40;4;0.462838;0.522202;0.00859;0.070803;0.070803;1;0.004729;0;0.45;351;0.490286
81;30;30;4;0.436306;0.488139;0.002708;0.06347;0.063471;1;0.003602;0;0.588506;256;0.410341
83;33;33;4;0.444084;0.498783;0.002138;0.062921;0.062921;1;0.003925;0;0.63447;335;0.423399
87;28;28;4;0.403535;0.459854;0.000506;0.052536;0.052537;1;0.003403;0;0.714286;270;0.353294
89;14;14;4;0.380028;0.418491;0.000077;0.02245;0.02245;1;0.002014;0;0.945055;86;0.151825
108;27;27;4;0.426791;0.476277;0.000948;0.053612;0.053612;1;0.003305;0;0.65812;231;0.348207
111;30;30;4;0.465986;0.512774;0.007296;0.051675;0.051676;1;0.003706;0;0.627586;273;0.350916
114;58;58;3;0.47487;0.55292;0.018229;0.08721;0.087211;1;0.006702;0;0.375681;621;0.628455
130;38;38;4;0.421538;0.489051;0.002986;0.069497;0.069498;1;0.004422;0;0.576102;405;0.4826
142;31;31;4;0.4377;0.490876;0.002349;0.058848;0.058849;1;0.003725;0;0.64086;298;0.394199
145;58;58;3;0.474048;0.552311;0.011237;0.135912;0.135913;2;0.006306;0;0.439806;727;0.842305
145а;59;59;3;0.484956;0.561436;0.012179;0.138188;0.138189;2;0.006404;0;0.434249;743;0.859088
150;29;29;4;0.419602;0.475973;0.000523;0.054245;0.054246;1;0.00345;0;0.721675;293;0.386019
155;33;33;4;0.432859;0.489051;0.002226;0.063082;0.063082;1;0.00384;0;0.589015;311;0.437719
160;24;24;4;0.412651;0.462287;0.000606;0.042537;0.042537;1;0.003076;0;0.778986;215;0.281539
165;53;53;3;0.47079;0.543796;0.010157;0.126635;0.126636;2;0.005776;0;0.46299;638;0.779122
181;56;56;3;0.500914;0.568735;0.031508;0.084901;0.0849;0;0.006364;0;0.344156;530;0.654507
200;22;22;4;0.414523;0.460766;0.009131;0.035107;0.035107;1;0.003434;0;0.705628;163;0.235636
201;25;25;4;0.416413;0.466241;0.007434;0.042905;0.042905;1;0.003538;0;0.723333;217;0.284992
210;27;27;4;0.423493;0.475365;0.005294;0.041801;0.041801;1;0.003512;0;0.541311;190;0.283232
229;28;28;4;0.426791;0.479623;0.000984;0.049092;0.049093;1;0.003496;0;0.73545;278;0.328566
300;31;31;4;0.442649;0.495134;0.002028;0.057959;0.05796;1;0.003729;0;0.649462;302;0.393001
301;67;67;3;0.502752;0.583333;0.025877;0.156531;0.156533;1;0.007076;0;0.389417;861;1
401;63;63;4;0.491921;0.571776;0.030459;0.120343;0.120343;2;0.007029;0;0.30722;600;0.780646
2Кр;51;51;3;0.494585;0.558394;0.01022;0.130439;0.13044;2;0.005587;0;0.486275;620;0.801531
3Кр;50;50;3;0.493694;0.556569;0.00861;0.13002;0.13002;2;0.005437;0;0.503673;617;0.798646
105;39;39;4;0.477352;0.532238;0.012941;0.058009;0.058008;0;0.004558;0;0.443995;329;0.461773
109а;43;43;3;0.488414;0.544404;0.007957;0.094427;0.094426;4;0.004815;0;0.460687;416;0.637607
109;43;43;3;0.488414;0.544404;0.007957;0.094427;0.094426;4;0.004815;0;0.460687;416;0.637607
129;40;40;4;0.441224;0.505779;0.001624;0.109984;0.109985;2;0.004356;0;0.633333;494;0.66261
129а;31;31;4;0.428795;0.484489;0.000477;0.088554;0.088554;2;0.003468;0;0.845161;393;0.523872
