Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;componentnumber;clustering;triangles;eigencentrality
"автомобильная дорога 41к-97";2;2;14;0.179392;0.208962;0.003293;0.07372;0.07372;12;0.000679;0;0;0;0.274169
"дорога к жилгородку";2;2;14;0.168513;0.19372;0;0.039991;0.039991;13;0.000744;0;1;1;0.174476
"улица зосимова";3;3;15;0.158617;0.179453;0.004496;0.016723;0.016723;16;0.001143;0;0;0;0.073361
"кирочная улица";3;3;15;0.159993;0.17997;0.011567;0.005905;0.005905;6;0.001089;0;0;0;0.066224
"улица жуковского";2;2;14;0.161392;0.182435;0.009169;0.006364;0.006364;6;0.000741;0;0;0;0.070287
"кронштадтское шоссе";5;5;14;0.170067;0.198335;0.012007;0.071587;0.071587;16;0.001483;0;0;0;0.246543
"гражданская улица";1;1;16;0.136924;0.14958;0;0.002643;0.002643;16;0.000497;0;0;0;0.014259
"улица литке";2;2;15;0.145421;0.16223;0.002307;0.011603;0.011603;16;0.000895;0;0;0;0.043361
"кад";8;8;13;0.176975;0.215743;0.046905;0.139137;0.139137;16;0.002181;0;0.071429;2;0.501264
"кронштадт";4;4;14;0.153316;0.173989;0.001194;0.042219;0.042219;16;0.000849;0;0;0;0.162783
"санкт-петербург(вокзал)";16;16;14;0.189882;0.230683;0.079311;0.243309;0.243309;12;0.003652;0;0.021978;2;0.783923
"улица десантников";2;2;16;0.132468;0.150073;0.000001;0.002485;0.002485;2;0.000675;0;0;0;0.059754
"улица адмирала черокова";2;2;15;0.149328;0.173036;0.002608;0.005923;0.005922;2;0.000684;0;0;0;0.108172
"улица космонавтов";2;2;15;0.146403;0.16588;0.001459;0.004214;0.004214;18;0.000799;0;0;0;0.057183
"краснопутиловская улица";6;6;16;0.147499;0.175323;0.005048;0.009005;0.009005;13;0.001687;0;0;0;0.178282
"ломоносов";4;4;14;0.153723;0.17813;0.013554;0.030261;0.030261;16;0.001319;0;0;0;0.119937
"петергоф";2;2;15;0.140382;0.158594;0.005967;0.005222;0.005222;16;0.000798;0;0;0;0.036135
"лисий нос";6;6;13;0.168415;0.197133;0.012589;0.082656;0.082656;16;0.001015;0;0.166667;1;0.321014
1-й предпортовый проезд;3;3;16;0.13392;0.153303;0.000301;0.002919;0.002919;13;0.000937;0;0.333333;1;0.065784
5-й предпортовый проезд;3;3;16;0.13751;0.159013;0.000531;0.005523;0.005523;11;0.000938;0;0.333333;1;0.107651
"улица галстяна";5;5;15;0.152079;0.179037;0.0041;0.009244;0.009244;13;0.001432;0;0.3;3;0.155854
"улица костюшко";4;4;16;0.134045;0.154654;0.000428;0.003703;0.003703;13;0.001198;0;0.333333;2;0.090454
"предпортовая улица";2;2;16;0.136902;0.15716;0;0.005125;0.005125;11;0.000659;0;1;1;0.096366
"дунайский проспект";11;11;15;0.158472;0.194354;0.02874;0.026905;0.026905;11;0.002848;0;0.036364;2;0.465691
"пулковское шоссе";8;8;14;0.167796;0.203518;0.028627;0.02742;0.027419;13;0.002493;0;0.035714;1;0.303984
"купчинская улица";2;2;16;0.136967;0.157775;0.001703;0.004971;0.004971;11;0.000642;0;0;0;0.105659
"дунайский путепровод";2;2;16;0.141922;0.164077;0;0.008304;0.008304;11;0.000611;0;1;1;0.140661
"софийская улица";10;10;15;0.161332;0.195122;0.06534;0.018351;0.01835;11;0.00276;0;0.044444;2;0.389645
"будапештская улица";9;9;16;0.140405;0.1694;0.008946;0.011274;0.011273;11;0.002291;0;0.138889;5;0.350002
"витебский проспект";11;11;14;0.171412;0.207213;0.027458;0.045536;0.045535;3;0.002565;0;0.022222;1;0.541096
"проспект космонавтов";5;5;16;0.142999;0.168599;0.000937;0.011987;0.011987;3;0.001342;0;0;0;0.202224
"малая карпатская улица";3;3;16;0.137205;0.159044;0.001385;0.006121;0.006121;11;0.000836;0;0.333333;1;0.153106
"улица ленсовета";9;9;15;0.160824;0.191475;0.006458;0.02564;0.025639;3;0.00231;0;0.138889;5;0.391258
"площадь победы";5;5;15;0.164485;0.196276;0.009995;0.017379;0.017379;13;0.001374;0;0.1;1;0.257598
"стартовая улица";2;2;15;0.143757;0.164303;0.002307;0.004444;0.004444;13;0.000915;0;0;0;0.055433
"проезд к аэропорту пулково-1";2;2;15;0.143757;0.164303;0.002307;0.004444;0.004444;13;0.000915;0;0;0;0.055433
"киевское шоссе";3;3;14;0.166923;0.192148;0.00405;0.017519;0.017519;13;0.001143;0;0;0;0.128484
"улица орджоникидзе";6;6;15;0.15152;0.17863;0.004998;0.018153;0.018152;3;0.001568;0;0.066667;1;0.274003
"автовская улица";2;2;15;0.150052;0.169308;0.002271;0.002985;0.002985;5;0.000688;0;0;0;0.054019
"московское шоссе";12;12;14;0.182028;0.217968;0.050656;0.047538;0.047538;3;0.003147;0;0.060606;4;0.531889
"площадь московские ворота";2;2;16;0.151098;0.173824;0;0.00402;0.00402;3;0.000676;0;1;1;0.101908
"улица типанова";5;5;16;0.152991;0.181498;0.009511;0.011618;0.011618;3;0.001355;0;0.2;2;0.232415
"благодатная улица";3;3;16;0.147549;0.173056;0.004914;0.004024;0.004024;3;0.000913;0;0;0;0.113433
"улица фрунзе";2;2;16;0.15013;0.17417;0.000362;0.006701;0.006701;3;0.000622;0;0;0;0.124633
"бассейная улица";4;4;16;0.15026;0.175804;0.00184;0.007738;0.007738;3;0.001114;0;0;0;0.151976
"лиговский проспект";10;10;15;0.163031;0.194909;0.033365;0.008676;0.008676;3;0.0032;0;0.022222;1;0.212579
"московская площадь";2;2;16;0.146033;0.168252;0;0.004485;0.004485;3;0.000634;0;1;1;0.099959
"сенная площадь";4;4;15;0.180249;0.208318;0.039937;0.018611;0.018611;3;0.00126;0;0.166667;1;0.21744
"площадь восстания";2;2;16;0.162695;0.184409;0.009025;0.004142;0.004142;3;0.000711;0;0;0;0.087814
"улица некрасова";3;3;16;0.141991;0.161971;0.002899;0.001487;0.001487;6;0.001138;0;0;0;0.055074
"ново-каменный мост";1;1;16;0.140201;0.157648;0;0.001371;0.001371;3;0.000445;0;0;0;0.041074
"расстанная улица";3;3;16;0.140815;0.161001;0.004631;0.001508;0.001508;3;0.001048;0;0;0;0.061238
"воздухоплавательная улица";2;2;15;0.157265;0.181282;0.004169;0.008567;0.008567;3;0.000643;0;0;0;0.126952
"курская улица";3;3;16;0.140496;0.160032;0.004436;0.001466;0.001466;3;0.001196;0;0;0;0.05484
"невский проспект";9;9;15;0.184704;0.215117;0.13745;0.017536;0.017535;6;0.002823;0;0.027778;1;0.2555
"малая морская улица";2;2;16;0.156442;0.174183;0.008245;0.002847;0.002847;7;0.000788;0;0;0;0.054971
"дворцовый проезд";2;2;16;0.159199;0.176885;0.055012;0.002846;0.002846;1;0.000771;0;0;0;0.056194
"улица александра невского";2;2;16;0.157636;0.175106;0.004278;0.002928;0.002928;6;0.000759;0;0;0;0.056293
"площадь александра невского";3;3;16;0.162329;0.183781;0.024665;0.004208;0.004208;6;0.000966;0;0.666667;2;0.10475
"исполкомская улица";3;3;16;0.158067;0.177163;0.007053;0.003065;0.003065;6;0.00106;0;0;0;0.069061
"суворовский проспект";7;7;15;0.16486;0.190006;0.027238;0.004803;0.004803;6;0.002241;0;0.047619;1;0.141712
"мост александра невского";3;3;16;0.162329;0.183781;0.024665;0.004208;0.004208;6;0.000966;0;0.666667;2;0.10475
"исаакиевская площадь";3;3;17;0.13701;0.150689;0.006496;0.000482;0.000482;7;0.001229;0;0;0;0.026453
"конногвардейский бульвар";3;3;18;0.123539;0.135744;0.002179;0.00011;0.00011;7;0.001138;0;0.333333;1;0.030228
"вознесенский проспект";2;2;18;0.120988;0.130973;0.000604;0.000091;0.000091;7;0.000939;0;0;0;0.013229
"площадь труда";3;3;19;0.113319;0.125667;0.002051;0.000048;0.000048;7;0.001104;0;0.333333;1;0.032119
"набережная крюкова канала";4;4;18;0.12131;0.134318;0.002266;0.000169;0.000169;7;0.001431;0;0.333333;2;0.044252
"благовещенский мост";3;3;19;0.114576;0.12801;0.002249;0.000024;0.000024;0;0.001075;0;0.333333;1;0.038006
