проспект большевиков, улица подвойского
проспект большевиков, улица коллонтай
дальневосточный проспект, народная улица
дальневосточный проспект, улица тельмана
дальневосточный проспект, дальневосточный проспект
дальневосточный проспект, искровский проспект
дальневосточный проспект, улица коллонтай
дальневосточный проспект, новочеркасский проспект
народная улица, володарский мост
улица бабушкина, проспект александровской фермы
улица бабушкина, улица шелгунова
улица бабушкина, ивановская улица
улица бабушкина, проспект елизарова
улица бабушкина, большой смоленский проспект
улица бабушкина, рабфаковская улица
улица бабушкина, улица чернова
улица бабушкина, бульвар красных зорь
улица бабушкина, улица полярников
улица бабушкина, проспект обуховской обороны
проспект александровской фермы, улица седова
проспект александровской фермы, улица шелгунова
проспект александровской фермы, софийская улица
проспект александровской фермы, улица димитрова
проспект александровской фермы, путепровод александровской фермы
улица седова, ивановская улица
улица седова, площадь бехтерева
улица седова, проспект елизарова
улица седова, бульвар красных зорь
улица седова, улица цимбалина
улица седова, улица полярников
ивановская улица, володарский мост
ивановская улица, невский путепровод
малоохтинский проспект, таллинская улица
таллинская улица, новочеркасский проспект
новочеркасский проспект, красногвардейская площадь
новочеркасский проспект, комаровский мост
новочеркасский проспект, заневская площадь
новочеркасский проспект, заневский проспект
красногвардейская площадь, проспект шаумяна
красногвардейская площадь, среднеохтинский проспект
красногвардейская площадь, большеохтинский мост
красногвардейская площадь, большеохтинский проспект
красногвардейская площадь, комаровский мост
красногвардейская площадь, якорная улица
проспект шаумяна, магнитогорская улица
проспект шаумяна, заневский проспект
проспект шаумяна, казанская улица
магнитогорская улица, проспект энергетиков
проспект энергетиков, заневский проспект
проспект энергетиков, шоссе революции
проспект энергетиков, екатерининский проспект
проспект энергетиков, бестужевская улица
проспект энергетиков, большая пороховская улица
проспект энергетиков, проспект маршала блюхера
заневский проспект, гранитная улица
заневский проспект, проспект косыгина
заневский проспект, заневский мост
заневский проспект, мост александра невского
заневский проспект, площадь александра невского
заневский проспект, заневская площадь
гранитная улица, казанская улица
университетская набережная, благовещенский мост
университетская набережная, дворцовый мост
университетская набережная, набережная лейтенанта шмидта
университетская набережная, менделеевская линия
благовещенский мост, набережная лейтенанта шмидта
большая морская улица, поцелуев мост
нарвский проспект, площадь стачек
улица кораблестроителей, новосмоленская набережная
улица кораблестроителей, улица нахимова
улица кораблестроителей, мичманская улица
улица кораблестроителей, прибалтийская площадь
новосмоленская набережная, наличный мост
22-я и 23-я линии в.о., средний проспект
дворцовый мост, дворцовый проезд
дворцовый мост, биржевая площадь
площадь бехтерева, улица бехтерева
улица бехтерева, хрустальная улица
хрустальная улица, улица профессора качалова
улица профессора качалова, проспект обуховской обороны
проспект обуховской обороны, шлиссельбургский мост
проспект обуховской обороны, синопская набережная
проспект обуховской обороны, улица шелгунова
проспект обуховской обороны, улица чернова
проспект обуховской обороны, рабфаковская улица
проспект обуховской обороны, шлиссельбургский проспект
синопская набережная, херсонская улица
херсонская улица, улица александра невского
херсонская улица, исполкомская улица
автобусный переулок, автобусная улица
автобусная улица, ново-никитская улица
автобусная улица, улица маршала новикова
ново-никитская улица, шуваловский проспект
шуваловский проспект, парашютная улица
шуваловский проспект, комендантский проспект
шуваловский проспект, проспект авиаконструкторов
шуваловский проспект, планерная улица
шуваловский проспект, мебельная улица
шуваловский проспект, богатырский проспект
шуваловский проспект, улица оптиков
шуваловский проспект, проспект авиакострукторов
шуваловский проспект, камышовая улица
парашютная улица, коломяжский проспект
парашютная улица, улица маршала новикова
парашютная улица, солунская улица
парашютная улица, репищева улица
парашютная улица, улица летчика паршина
парашютная улица, долгоозерная улица
парашютная улица, дорога в каменку
парашютная улица, комендантский проспект
коломяжский проспект, проспект испытателей
коломяжский проспект, набережная чёрной речки
коломяжский проспект, коломяжский путепровод
коломяжский проспект, богатырский проспект
коломяжский проспект, улица матроса железняка
коломяжский проспект, проспект королёва
коломяжский проспект, проспект королева
проспект испытателей, светлановская площадь
проспект испытателей, улица маршала новикова
проспект испытателей, комендантская площадь
проспект испытателей, улица уточкина
проспект испытателей, серебристый бульвар
светлановская площадь, светлановский проспект
светлановская площадь, проспект энгельса
светлановский проспект, проспект тореза
светлановский проспект, тихорецкий проспект
светлановский проспект, суздальский проспект
светлановский проспект, учительская улица
светлановский проспект, проспект луначарского
светлановский проспект, северный проспект
светлановский проспект, проспект просвещения
проспект тореза, площадь мужества
проспект тореза, улица есенина
крестовский проспект, рюхина улица
крестовский проспект, спортивная улица
крестовский проспект, южная дорога
крестовский проспект, 2-й парковый мост
рюхина улица, морской проспект
морской проспект, петроградская улица
морской проспект, спортивная улица
петроградская улица, большой крестовский мост
большой крестовский мост, левашовский проспект
большой крестовский мост, большая зеленина улица
левашовский проспект, площадь шевченко
левашовский проспект, ординарная улица
левашовский проспект, песочная набережная
проспект добролюбова, мытнинская набережная
проспект добролюбова, переулок талалихина
проспект добролюбова, зоологический переулок
мытнинская набережная, биржевой мост
биржевой мост, биржевая площадь
биржевой мост, площадь академика лихачёва
вознесенский проспект, измайловский мост
измайловский мост, измайловский проспект
измайловский проспект, троицкий проспект
троицкий проспект, лермонтовский проспект
лермонтовский проспект, площадь балтийского вокзала
лермонтовский проспект, рижский проспект
лермонтовский проспект, садовая улица
лермонтовский проспект, могилёвский мост
лермонтовский проспект, египетский мост
лермонтовский проспект, ново-петергофский мост
лермонтовский проспект, набережная обводного канала
лермонтовский проспект, набережная реки фонтанки
площадь балтийского вокзала, набережная обводного канала
площадь балтийского вокзала, ново-петергофский мост
невский путепровод, проспект славы
проспект славы, улица типанова
проспект славы, гамбургская площадь
проспект славы, будапештская улица
проспект славы, софийская улица
проспект славы, бухарестская улица
проспект славы, пражская улица
проспект славы, проезд вдоль станции "сортировочная"
улица типанова, улица ленсовета
улица типанова, московская площадь
улица типанова, проспект юрия гагарина
улица ленсовета, проспект юрия гагарина
улица ленсовета, улица фрунзе
улица ленсовета, звёздная улица
улица ленсовета, московское шоссе
улица ленсовета, улица орджоникидзе
улица ленсовета, дунайский путепровод
улица ленсовета, свирская улица
улица подвойского, проспект солидарности
проспект солидарности, улица коллонтай
проспект солидарности, улица кржижановского
улица коллонтай, российский проспект
улица коллонтай, улица кржижановского
улица коллонтай, искровский проспект
улица коллонтай, товарищевский проспект
улица коллонтай, товарищеский проспект
российский проспект, проспект пятилеток
российский проспект, улица латышских стрелков
российский проспект, товарищеский проспект
российский проспект, российский мост
российский проспект, российский путепровод
проспект пятилеток, улица ворошилова
улица ворошилова, улица ворошилова
улица ворошилова, улица бадаева
улица бадаева, искровский проспект
искровский проспект, улица тельмана
гамбургская площадь, софийская улица
софийская улица, софийская площадь
софийская улица, улица белы куна
софийская улица, грузовой проезд
софийская улица, улица салова
софийская улица, автозаводская улица
софийская улица, шушары
софийская площадь, улица белы куна
улица белы куна, улица турку
улица белы куна, будапештская улица
улица белы куна, бухарестская улица
улица белы куна, улица цимбалина
улица белы куна, белградская улица
улица турку, белградская улица
улица турку, будапештская улица
белградская улица, улица салова
улица салова, благодатная улица
улица салова, алмазный мост
улица салова, бухарестская улица
улица салова, волковский проспект
улица салова, улица самойловой
благодатная улица, новоизмайловский проспект
